cross-bar,横木,The ball rebounds from a cross-bar into the field of play.,球从横木弹回场内。,,,,,,,,,,,,,,,,,,
curl,旋转，使（球）旋转,to curl a kick / a free-kick,踢旋转球 / 踢旋转的任意球,,,,,,,,,,,,,,,,,,
curling ball,旋转球，弧线球,,,,,,,,,,,,,,,,,,,,
curved shot,弧线射门,,,,,,,,,,,,,,,,,,,,
cut back,下底传中；向后传中,（通常是横传给身后球员）,,,,,,,,,,,,,,,,,,,
cut in,内切,,,,,,,,,,,,,,,,,,,,
cut in for goal,切入抢点射门,The wing forwards must be able to beat the fullbacks to the inside and cut in for goal.,边锋必须能够做到摆脱对方后卫的堵截插入里线抢点射门。,The wing forward cuts in to head the ball at goal.,边锋包抄切入头球抢点射门。,（注：抢点射门通常是起脚劲射，也包括头球抢点射门，英文略有区别。）,,,,,,,,,,,,,,,
cut inside,内切,,,,,,,,,,,,,,,,,,,,
dangerous play,危险动作，危险的打法,,,,,,,,,,,,,,,,,,,,
Danubian school,多瑙河流派；2-3-5 阵型,特点是短传，地面进攻，注重技巧和谋略,,,,,,,,,,,,,,,,,,,
Danubian style,多瑙河流派；2-3-5 阵型,特点是短传，地面进攻，注重技巧和谋略,,,,,,,,,,,,,,,,,,,
dash forward,冲刺插上,,,,,,,,,,,,,,,,,,,,
dead ball,死球，定位球,Dead ball situations were very poorly exploited during this competition.,在这次比赛中各队对出现的死球（定位球）的情况利用得（处理得）很差。,,,,,,,,,,,,,,,,,,
dead leaf,落叶球,带有强烈弧线，在空中有明显下坠的射门,,,,,,,,,,,,,,,,,,,
deceptive movement,假动作,to use a deceptive movement,使用假动作,to make a deceptive movement,做一个假动作,,,,,,,,,,,,,,,,
deep,拖后；回撤,,,,,,,,,,,,,,,,,,,,
deep line,防线回收,,,,,,,,,,,,,,,,,,,,
deep lying,拖后；回撤,,,,,,,,,,,,,,,,,,,,
deep lying forward,拖后前锋,FM 定义：,主要作用时连接锋线和中场。任务是向靠后的空当回撤，先拿住球，然后给队友做策应，回传或分边，如果有机会转身，那么也可以给锋线队员做球。,,,,,,,,,,,,,,,,,,
deep lying playmaker,拖后组织核心,FM 定义：,活动区域在防线和中场之间，通过向前方球员输送精准的传球来发动进攻。最主要的能力是视野，但也需要有一定的防守能力。,,,,,,,,,,,,,,,,,,
deep-lying centre-forward,拖后中锋,,,,,,,,,,,,,,,,,,,,
defeat,打败，击败,Team A defeated Team B.,甲队打败乙队。,,,,,,,,,,,,,,,,,,
defence,防御,（译注：原意是防御，根据上下文，有时可译为防线。）,solid defence,坚固的（坚强的）防线,poor defence,薄弱的防线,shaky defence,不稳的防线,to organize the defence,组织防御,to strengthen the defence,加强防御,,,,,,,,,
